"";"ANO";"NIVEL";"CODMUNRES";"IDHM_A";"IDHM_CA";"IDHM_CA_F";"IDHM_CA_M"
"1";2015;"MUNICIPIO";"4300034";0;0,687;0;0
"2";2015;"MUNICIPIO";"4300059";0;0,75;0;0
"3";2015;"MUNICIPIO";"4300109";0;0,694;0;0
"4";2015;"MUNICIPIO";"4300208";0;0,753;0;0
"5";2015;"MUNICIPIO";"4300307";0;0,672;0;0
"6";2015;"MUNICIPIO";"4300406";0;0,74;0;0
"7";2015;"MUNICIPIO";"4300455";0;0,695;0;0
"8";2015;"MUNICIPIO";"4300471";0;0,74;0;0
"9";2015;"MUNICIPIO";"4300505";0;0,671;0;0
"10";2015;"MUNICIPIO";"4300554";0;0,747;0;0
"11";2015;"MUNICIPIO";"4300570";0;0,734;0;0
"12";2015;"MUNICIPIO";"4300604";0;0,699;0;0
"13";2015;"MUNICIPIO";"4300638";0;0,624;0;0
"14";2015;"MUNICIPIO";"4300646";0;0,682;0;0
"15";2015;"MUNICIPIO";"4300661";0;0,72;0;0
"16";2015;"MUNICIPIO";"4300703";0;0,74;0;0
"17";2015;"MUNICIPIO";"4300802";0;0,758;0;0
"18";2015;"MUNICIPIO";"4300851";0;0,691;0;0
"19";2015;"MUNICIPIO";"4300877";0;0,679;0;0
"20";2015;"MUNICIPIO";"4300901";0;0,772;0;0
"21";2015;"MUNICIPIO";"4301008";0;0,769;0;0
"22";2015;"MUNICIPIO";"4301057";0;0,669;0;0
"23";2015;"MUNICIPIO";"4301073";0;0,74;0;0
"24";2015;"MUNICIPIO";"4301107";0;0,707;0;0
"25";2015;"MUNICIPIO";"4301206";0;0,698;0;0
"26";2015;"MUNICIPIO";"4301305";0;0,657;0;0
"27";2015;"MUNICIPIO";"4301404";0;0,694;0;0
"28";2015;"MUNICIPIO";"4301503";0;0,743;0;0
"29";2015;"MUNICIPIO";"4301552";0;0,707;0;0
"30";2015;"MUNICIPIO";"4301602";0;0,74;0;0
"31";2015;"MUNICIPIO";"4301636";0;0,696;0;0
"32";2015;"MUNICIPIO";"4301651";0;0,748;0;0
"33";2015;"MUNICIPIO";"4301701";0;0,719;0;0
