"";"CODMUNRES";"X.x";"ANO.x";"NIVEL.x";"POPRE_T";"POPRC_T";"POPRC_M";"POPRC_F";"POPRC_15";"POPRC_15_49";"POPRC_50";"POPRC_F_15";"POPRC_F_15_49";"POPRC_F_50";"X.y";"ANO.y";"NIVEL.y";"IDHM_A";"IDHM_CA";"IDHM_CA_M";"IDHM_CA_F";"X.x";"ANO.x";"NIVEL.x";"TN";"TNRC";"TNRCR";"TGI_15";"TGI_15_19";"TGI_20_24";"TGI_25_29";"TGI_30_34";"TGI_35_39";"TGI_40_44";"TGI_45_49";"TGI_50";"TGIF";"IM_P25";"IM_P50";"IM_P75";"IM_MD.x";"IM_DP";"EM_S";"EM_FI";"EM_FII";"EM_M";"EM_SI";"EM_SC";"TGRC_B";"TGRC_PT";"TGRC_PD";"TGRC_I";"TGRC_A";"TGCC";"TGSC";"TGNPRI";"TGPRI";"TGG";"NA.";"TGD_32_36";"TGD_37_41";"TGD_42";"TGD_28_31";"TGD_22_27";"TGD_22";"TGD_AT";"TGD_PRT";"TGD_PST";"DG_P25";"DG_P50";"DG_P75";"IM_MD.y";"DG_DP";"TKC_ID";"TKC_AD";"TKC_MAD";"TKC_IT";"TGRC_NR";"TGPRG_N";"TGPRG_S";"TPV";"TPC";"TRAP_C";"TRAP_P";"TRAP_T";"TGROB_1";"TGROB_2";"TGROB_3";"TGROB_4";"TGROB_5";"TGROB_6";"TGROB_7";"TGROB_8";"TGROB_10";"TGROB_9";"TNLOC_H";"TNLOC_O";"TNLOC_ES";"TNLOC_D";"TNLOC_AI";"TRS_M";"TRS_F";"TRRC_B";"TRRC_PT";"TRRC_PD";"TRRC_I";"TRRC_A";"TRP_BP";"TRP_N";"TRP_M";"PESO_P25";"PESO_P50";"PESO_P75";"PESO";"PESO_DP";"TRPIG_P";"TRPIG_A";"TRPIG_G";"TRAPG5_B";"TRAPG5_N";"APGAR5_MD";"APGAR5_DP";"TRSAC";"TRAC";"X.y";"ANO.y";"NIVEL.y";"TO";"TO_MT_G";"TONT_B";"TONT_PT";"TONT_PD";"TONT_I";"TONT_A";"TO_MT";"TO_MT_DG";"TO_MT_43";"TO_MT_PT";"TO_MT_42";"TO_MT_AB";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_EM";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_ESC";"TO_MT_P_ESI";"TO_MT_P_ES";"X";"ANO";"NIVEL";"POPR_RA";"POPR_RE";"TFG";"TMG";"RMM";"TMM";"TMM_P";"TMI"
"1";"430003";2;2015;"MUNICIPIO";4702;4394;2303;2091;1048;2246;1100;541;1052;NA;1;2015;"MUNICIPIO";0;0,687;0;0;1;2015;"MUNICIPIO";55;0;55;0;0;19;10;11;3;0;0;0;55;"20";"24";"29.5";"24.67";"5.88";1;3;21;27;3;0;42;4;9;0;0;26;29;21;34;55;0;4;49;2;0;0;0;49;4;2;"38";"39";"40";"24.67";"1.71";8;5;41;0;0;39;16;19;36;53;2;0;11;8;9;6;13;1;1;2;4;0;55;0;0;0;0;28;27;42;4;9;0;0;2;52;1;"2902.5";"3240";"3632.5";"3267.55";"460.17";2;44;7;1;54;"9.82";"0.51";55;0;1;2015;"MUNICIPIO";33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2015;"MUNICIPIO";"1.565";"0";52,2813688212928;7,01829008932369;0;0;0;0
"2";"430005";3;2015;"MUNICIPIO";3840;3722;1879;1843;808;1935;979;403;947;NA;2;2015;"MUNICIPIO";0;0,75;0;0;2;2015;"MUNICIPIO";36;0;36;0;0;8;15;8;0;1;0;0;36;"22";"27";"29.25";"26.17";"5.08";0;0;11;12;11;2;33;0;1;2;0;30;6;15;21;36;0;5;31;0;0;0;0;31;5;0;"37";"38.5";"40";"26.17";"2.11";4;1;31;0;0;0;36;10;26;29;3;0;5;8;1;3;8;0;3;0;4;0;36;0;0;0;0;20;16;33;0;1;2;0;2;32;2;"2870";"3122.5";"3360";"3158.75";"517.2";2;31;3;0;36;"9.75";"0.44";35;1;2;2015;"MUNICIPIO";18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2015;"MUNICIPIO";"1.514";"0";38,0147835269271;4,6875;0;0;0;0
"3";"430010";4;2015;"MUNICIPIO";17120;16722;8349;8373;3201;8792;4729;1607;4274;NA;3;2015;"MUNICIPIO";0;0,694;0;0;3;2015;"MUNICIPIO";161;0;159;5;0;37;41;35;18;3;0;0;161;"21";"27";"32";"26.66";"6.61";0;11;60;64;20;6;135;6;18;0;1;73;86;70;91;161;0;15;141;3;2;0;0;141;17;3;"38";"38";"40";"26.66";"1.87";48;8;79;20;0;9;152;62;99;152;6;3;18;41;22;28;30;4;2;0;13;3;161;0;0;0;0;82;79;135;6;18;0;1;9;144;8;"2970";"3280";"3545";"3236.68";"479.72";7;133;19;3;158;"9.61";"0.71";159;0;3;2015;"MUNICIPIO";146;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2015;"MUNICIPIO";"8.002";"0";37,6696303228825;8,52803738317757;12,4223602484472;46,7945718296678;0;12,4223602484472
"4";"430020";5;2015;"MUNICIPIO";7387;7255;3585;3670;1335;3715;2205;663;1837;NA;4;2015;"MUNICIPIO";0;0,753;0;0;4;2015;"MUNICIPIO";68;0;68;1;0;10;23;16;9;2;0;0;68;"24";"28";"32";"27.87";"6.12";1;2;18;25;17;5;62;0;6;0;0;40;28;27;41;68;0;6;60;0;2;0;0;60;8;0;"38";"39";"39";"27.87";"2.08";6;2;57;3;0;43;25;11;57;63;5;0;8;14;6;4;24;3;2;0;7;0;68;0;0;0;0;33;35;62;0;6;0;0;5;61;2;"2887.5";"3167.5";"3366.25";"3113.24";"487.58";3;60;5;2;65;"9.44";"1.41";68;0;4;2015;"MUNICIPIO";65;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2015;"MUNICIPIO";"4.477";"0";37,0168753402286;8,79924191146609;14,7058823529412;54,4365813826892;0;14,7058823529412
"5";"430030";6;2015;"MUNICIPIO";6865;7045;3512;3533;1237;3120;2688;623;1509;NA;5;2015;"MUNICIPIO";0;0,672;0;0;5;2015;"MUNICIPIO";48;0;48;3;0;13;10;12;6;1;0;0;48;"21.75";"26";"32";"26.73";"6.74";0;3;24;16;3;2;48;0;0;0;0;35;13;24;24;48;0;2;46;0;0;0;0;46;2;0;"38";"39";"40";"26.73";"1.41";10;4;30;3;1;0;48;8;40;47;1;0;4;19;4;5;14;0;1;0;1;0;48;0;0;0;0;16;32;48;0;0;0;0;4;39;5;"3093.75";"3305";"3688.75";"3335.1";"576.55";4;34;10;1;47;"9.35";"0.86";48;0;5;2015;"MUNICIPIO";58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2015;"MUNICIPIO";"2.494";"0";31,8091451292246;8,44865258557902;0;0;0;0
"6";"430040";7;2015;"MUNICIPIO";78499;77653;38051;39602;16297;40318;21038;8088;20307;11207;6;2015;"MUNICIPIO";0;0,74;0;0;6;2015;"MUNICIPIO";954;0;952;9;0;226;220;218;103;34;1;0;954;"21";"27";"32";"26.99";"6.67";2;31;245;498;119;59;647;70;236;0;1;289;665;405;549;954;0;125;818;0;7;4;0;818;136;0;"37";"38";"39";"26.99";"1.88";235;16;668;23;11;942;12;154;800;893;57;4;50;279;47;156;240;23;27;28;100;4;952;2;0;0;0;443;511;647;70;236;0;1;104;816;34;"2855";"3185";"3498.75";"3136.36";"561.94";46;783;97;16;937;"8.87";"0.73";939;13;6;2015;"MUNICIPIO";748;0;5;1;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2015;"MUNICIPIO";"69.226";"13.749";46,978874279805;9,52878380616314;11,5303983228512;54,1685133205299;0;11,5303983228512
"7";"430045";8;2015;"MUNICIPIO";4135;4301;2149;2152;788;1942;1571;419;936;NA;7;2015;"MUNICIPIO";0;0,695;0;0;7;2015;"MUNICIPIO";31;0;31;1;0;5;8;9;4;2;0;0;31;"24.5";"29";"34";"29.23";"7.13";0;2;6;16;6;1;30;0;1;0;0;14;17;9;22;31;0;3;28;0;0;0;0;28;3;0;"38";"39";"39";"29.23";"1.36";2;1;25;3;0;0;31;2;29;31;0;0;2;7;1;7;11;0;0;0;3;0;31;0;0;0;0;22;9;30;0;1;0;0;1;28;2;"2920";"3240";"3627.5";"3308.23";"462.52";1;24;6;0;31;"9.1";"0.47";31;0;7;2015;"MUNICIPIO";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2015;"MUNICIPIO";"4.135";"0";33,1196581196581;5,56227327690447;0;0;0;0
"8";"430047";9;2015;"MUNICIPIO";2091;2067;1041;1026;358;1035;674;180;513;NA;8;2015;"MUNICIPIO";0;0,74;0;0;8;2015;"MUNICIPIO";24;0;24;0;0;5;5;6;4;2;0;0;24;"22.5";"29.5";"34.25";"28.92";"7";0;1;4;11;7;1;23;0;1;0;0;21;3;11;13;24;0;4;20;0;0;0;0;20;4;0;"37";"38";"39";"28.92";"1.73";4;2;15;3;0;0;24;9;15;21;3;0;2;5;3;2;6;2;0;2;2;0;24;0;0;0;0;12;12;23;0;1;0;0;2;22;0;"2645";"2935";"3286.25";"2961.67";"490.7";3;18;1;0;24;"9.54";"0.72";24;0;8;2015;"MUNICIPIO";16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2015;"MUNICIPIO";"0";"0";46,7836257309941;7,6518412242946;0;0;0;0
"9";"430050";10;2015;"MUNICIPIO";7640;8027;4129;3898;1635;3906;2486;750;1865;1283;9;2015;"MUNICIPIO";0;0,671;0;0;9;2015;"MUNICIPIO";71;0;71;2;0;12;10;20;8;4;0;0;71;"20";"27";"34";"27.21";"7.71";1;8;26;26;8;2;65;1;5;0;0;58;13;31;40;71;0;5;63;3;0;0;0;63;5;3;"38";"39";"40";"27.21";"1.43";12;4;53;1;0;49;22;15;56;69;2;0;17;8;19;4;15;1;0;6;1;0;71;0;0;0;0;39;32;65;1;5;0;0;6;62;3;"3020";"3340";"3555";"3270.7";"550.84";6;51;8;1;70;"9.66";"0.75";70;0;9;2015;"MUNICIPIO";56;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2015;"MUNICIPIO";"2.751";"0";38,0697050938338;7,32984293193717;14,0845070422535;53,6193029490617;0;14,0845070422535
"10";"430055";11;2015;"MUNICIPIO";1828;1848;944;904;320;921;607;154;447;NA;10;2015;"MUNICIPIO";0;0,747;0;0;10;2015;"MUNICIPIO";18;0;18;0;0;7;4;4;2;1;0;0;18;"23.25";"27";"31";"27.83";"6.29";0;1;2;10;5;0;18;0;0;0;0;15;3;8;10;18;0;1;15;1;1;0;0;15;2;1;"38";"38.5";"39.75";"27.83";"3.13";1;0;14;3;0;0;18;4;14;11;7;0;2;3;2;1;2;3;4;0;1;0;18;0;0;0;0;8;10;18;0;0;0;0;2;16;0;"2820";"2932.5";"3170";"2888.83";"567.96";1;16;0;1;17;"9.61";"0.85";18;0;10;2015;"MUNICIPIO";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2015;"MUNICIPIO";"754";"0";40,2684563758389;3,82932166301969;0;0;0;0
