"";"ANO";"NIVEL";"CODMUNRES";"POPRE_T";"POPRC_T";"POPRC_M";"POPRC_F";"POPRC_15";"POPRC_15_49";"POPRC_50";"POPRC_F_15";"POPRC_F_15_49";"POPRC_F_50"
"1";2015;"UF";"43";11247972;10693929;5205057;5488872;2229504;5727053;2737372;1094307;2894599;1499966
"2";2015;"MUNICIPIO";"4300034";4702;4394;2303;2091;1048;2246;1100;541;1052;NA
"3";2015;"MUNICIPIO";"4300059";3840;3722;1879;1843;808;1935;979;403;947;NA
"4";2015;"MUNICIPIO";"4300109";17120;16722;8349;8373;3201;8792;4729;1607;4274;NA
"5";2015;"MUNICIPIO";"4300208";7387;7255;3585;3670;1335;3715;2205;663;1837;NA
"6";2015;"MUNICIPIO";"4300307";6865;7045;3512;3533;1237;3120;2688;623;1509;NA
"7";2015;"MUNICIPIO";"4300406";78499;77653;38051;39602;16297;40318;21038;8088;20307;11207
"8";2015;"MUNICIPIO";"4300455";4135;4301;2149;2152;788;1942;1571;419;936;NA
"9";2015;"MUNICIPIO";"4300471";2091;2067;1041;1026;358;1035;674;180;513;NA
"10";2015;"MUNICIPIO";"4300505";7640;8027;4129;3898;1635;3906;2486;750;1865;1283
"11";2015;"MUNICIPIO";"4300554";1828;1848;944;904;320;921;607;154;447;NA
"12";2015;"MUNICIPIO";"4300570";3025;2917;1500;1417;465;1577;875;214;743;NA
"13";2015;"MUNICIPIO";"4300604";206561;195673;95080;100593;51347;107097;37229;25167;54594;20832
"14";2015;"MUNICIPIO";"4300638";6778;6353;3281;3072;1481;3347;1525;716;1633;723
"15";2015;"MUNICIPIO";"4300646";7569;7323;3732;3591;1803;3896;1624;894;1890;807
"16";2015;"MUNICIPIO";"4300661";1293;1216;620;596;241;587;388;126;273;NA
"17";2015;"MUNICIPIO";"4300703";6222;6073;3025;3048;952;3030;2091;492;1463;NA
"18";2015;"MUNICIPIO";"4300802";13285;12833;6405;6428;2277;6783;3773;1076;3367;1985
"19";2015;"MUNICIPIO";"4300851";3762;3693;1854;1839;778;1716;1199;385;850;NA
"20";2015;"MUNICIPIO";"4300877";5301;4864;2456;2408;1151;2662;1051;563;1292;NA
"21";2015;"MUNICIPIO";"4300901";6641;6565;3340;3225;1041;3255;2269;484;1576;NA
"22";2015;"MUNICIPIO";"4301008";20045;18783;9353;9430;3302;10361;5120;1623;5084;NA
"23";2015;"MUNICIPIO";"4301057";8785;7740;3833;3907;1685;3712;2343;830;1878;NA
"24";2015;"MUNICIPIO";"4301073";2883;2730;1414;1316;505;1367;858;244;639;NA
"25";2015;"MUNICIPIO";"4301107";14197;13606;6635;6971;3014;6947;3645;1494;3516;1961
"26";2015;"MUNICIPIO";"4301206";13316;12648;6384;6264;2701;6742;3205;1283;3298;NA
"27";2015;"MUNICIPIO";"4301305";18949;18470;9174;9296;4086;9255;5129;2031;4640;2625
"28";2015;"MUNICIPIO";"4301404";10595;10225;5134;5091;2073;5302;2850;1003;2612;NA
"29";2015;"MUNICIPIO";"4301503";7145;7096;3487;3609;1147;3482;2467;559;1735;1315
"30";2015;"MUNICIPIO";"4301552";3732;3665;1807;1858;658;1830;1177;350;877;631
"31";2015;"MUNICIPIO";"4301602";121749;116794;55804;60990;25527;60811;30456;12558;31247;17185
"32";2015;"MUNICIPIO";"4301636";12305;10856;5344;5512;2596;4716;3544;1272;2424;1816
"33";2015;"MUNICIPIO";"4301651";6061;5741;2912;2829;1039;3140;1562;538;1483;808
"34";2015;"MUNICIPIO";"4301701";6754;6529;3296;3233;1213;3329;1987;554;1611;1068
"35";2015;"MUNICIPIO";"4301750";7388;7018;3741;3277;1684;3716;1618;807;1718;NA
"36";2015;"MUNICIPIO";"4301800";5485;5357;2691;2666;1122;2660;1575;560;1314;792
"37";2015;"MUNICIPIO";"4301859";3236;3089;1550;1539;729;1579;781;372;769;NA
"38";2015;"MUNICIPIO";"4301875";4201;4012;2128;1884;1090;2137;785;507;1032;NA
"39";2015;"MUNICIPIO";"4301909";13263;12572;6253;6319;2811;6333;3428;1333;3145;NA
"40";2015;"MUNICIPIO";"4301925";1952;2003;1049;954;320;968;715;151;449;NA
