"";"CODMUNRES";"ANO";"NIVEL";"TO";"TORC";"TORCR";"TO_N";"TO_NN";"TO_CB_C";"TO_CB_N";"TO_CB_O";"TO_CB_R";"TO_CB_I";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_T";"TO_NT_P";"TO_PNT";"TO_MT_G";"TONT_B";"TONT_PT";"TONT_PD";"TONT_I";"TONT_A"
"1";430003;2015;"MUNICIPIO";33;0;0;33;0;12;3;17;1;0;21;12;NA;NA;NA;NA;NA;33;NA;NA;NA;NA;NA;NA
"2";430005;2015;"MUNICIPIO";18;0;0;18;0;6;3;5;3;1;12;6;NA;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA
"3";430010;2015;"MUNICIPIO";146;0;0;144;2;65;16;57;7;1;84;62;7;NA;2;2;0;144;NA;2;0;0;0;0
"4";430020;2015;"MUNICIPIO";65;0;0;64;1;28;3;24;10;0;32;33;3;NA;1;1;0;64;NA;1;0;0;0;0
"5";430030;2015;"MUNICIPIO";58;0;0;57;1;20;7;24;7;0;27;31;3;NA;NA;NA;NA;58;NA;NA;NA;NA;NA;NA
"6";430040;2015;"MUNICIPIO";748;0;0;739;9;247;88;307;95;11;389;359;29;NA;6;6;0;742;NA;5;1;0;0;0
"7";430045;2015;"MUNICIPIO";23;0;0;23;0;8;7;6;2;0;13;10;NA;NA;NA;NA;NA;23;NA;NA;NA;NA;NA;NA
"8";430047;2015;"MUNICIPIO";16;0;0;15;1;5;0;10;1;0;7;9;2;NA;NA;NA;NA;16;NA;NA;NA;NA;NA;NA
"9";430050;2015;"MUNICIPIO";56;0;0;55;1;16;2;29;8;1;36;20;1;NA;NA;NA;NA;56;NA;NA;NA;NA;NA;NA
"10";430055;2015;"MUNICIPIO";7;0;0;6;1;3;0;3;1;0;3;4;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA
"11";430057;2015;"MUNICIPIO";18;0;0;18;0;7;1;8;2;0;11;7;NA;NA;1;1;0;17;NA;1;0;0;0;0
"12";430060;2015;"MUNICIPIO";1556;0;0;1495;61;451;130;761;160;54;847;709;99;2;27;27;0;1525;2;14;9;4;0;0
"13";430063;2015;"MUNICIPIO";42;0;0;41;1;9;8;20;5;0;24;18;2;NA;NA;NA;NA;42;NA;NA;NA;NA;NA;NA
"14";430064;2015;"MUNICIPIO";50;0;0;50;0;14;1;22;12;1;32;18;1;NA;NA;NA;NA;50;NA;NA;NA;NA;NA;NA
"15";430066;2015;"MUNICIPIO";9;0;0;8;1;0;1;5;3;0;5;4;1;NA;NA;NA;NA;9;NA;NA;NA;NA;NA;NA
"16";430070;2015;"MUNICIPIO";42;0;0;38;4;11;2;23;6;0;24;18;1;NA;NA;NA;NA;42;NA;NA;NA;NA;NA;NA
"17";430080;2015;"MUNICIPIO";90;0;0;86;4;31;11;32;14;2;48;42;5;NA;NA;NA;NA;90;NA;NA;NA;NA;NA;NA
