"";"ANO";"NIVEL";"CODMUNRES";"POPR_RA";"POPR_RE"
"1";"2015";"MUNICIPIO";"430003";"1.565";"0"
"2";"2015";"MUNICIPIO";"430005";"1.514";"0"
"3";"2015";"MUNICIPIO";"430010";"8.002";"0"
"4";"2015";"MUNICIPIO";"430020";"4.477";"0"
"5";"2015";"MUNICIPIO";"430030";"2.494";"0"
"6";"2015";"MUNICIPIO";"430040";"69.226";"13.749"
"7";"2015";"MUNICIPIO";"430045";"4.135";"0"
"8";"2015";"MUNICIPIO";"430047";"0";"0"
"9";"2015";"MUNICIPIO";"430050";"2.751";"0"
"10";"2015";"MUNICIPIO";"430055";"754";"0"
"11";"2015";"MUNICIPIO";"430057";"3";"0"
"12";"2015";"MUNICIPIO";"430060";"206.561";"39.668"
"13";"2015";"MUNICIPIO";"430063";"1.664";"0"
"14";"2015";"MUNICIPIO";"430064";"4.328";"0"
"15";"2015";"MUNICIPIO";"430066";"0";"0"
"16";"2015";"MUNICIPIO";"430070";"3.3";"0"
"17";"2015";"MUNICIPIO";"430080";"10.119";"0"
"18";"2015";"MUNICIPIO";"430085";"3.533";"0"
"19";"2015";"MUNICIPIO";"430087";"0";"0"
"20";"2015";"MUNICIPIO";"430090";"3.226";"0"
"21";"2015";"MUNICIPIO";"430100";"13.948";"0"
"22";"2015";"MUNICIPIO";"430105";"553";"0"
"23";"2015";"MUNICIPIO";"430107";"5.616";"0"
"24";"2015";"MUNICIPIO";"430110";"14.197";"0"
"25";"2015";"MUNICIPIO";"430120";"6.715";"0"
"26";"2015";"MUNICIPIO";"430130";"16.759";"685"
"27";"2015";"MUNICIPIO";"430140";"7.369";"0"
"28";"2015";"MUNICIPIO";"430150";"7.1";"0"
"29";"2015";"MUNICIPIO";"430155";"1.518";"0"
"30";"2015";"MUNICIPIO";"430160";"101.607";"76.424"
"31";"2015";"MUNICIPIO";"430163";"7.163";"0"
"32";"2015";"MUNICIPIO";"430165";"2.52";"0"
"33";"2015";"MUNICIPIO";"430170";"4.796";"0"
"34";"2015";"MUNICIPIO";"430175";"754";"0"
"35";"2015";"MUNICIPIO";"430180";"3.236";"0"
"36";"2015";"MUNICIPIO";"430185";"2.034";"0"
"37";"2015";"MUNICIPIO";"430187";"2.685";"413"
"38";"2015";"MUNICIPIO";"430190";"10.042";"0"
"39";"2015";"MUNICIPIO";"430192";"0";"0"
"40";"2015";"MUNICIPIO";"430195";"2.497";"0"
"41";"2015";"MUNICIPIO";"430200";"4.081";"0"
"42";"2015";"MUNICIPIO";"430205";"0";"0"
"43";"2015";"MUNICIPIO";"430210";"113.287";"480"
"44";"2015";"MUNICIPIO";"430215";"0";"0"
"45";"2015";"MUNICIPIO";"430220";"5.048";"0"
"46";"2015";"MUNICIPIO";"430222";"2.35";"0"
"47";"2015";"MUNICIPIO";"430223";"764";"0"
"48";"2015";"MUNICIPIO";"430225";"0";"0"
"49";"2015";"MUNICIPIO";"430230";"8.958";"8.72"
"50";"2015";"MUNICIPIO";"430235";"9.25";"0"
"51";"2015";"MUNICIPIO";"430237";"1.453";"0"
"52";"2015";"MUNICIPIO";"430240";"9.927";"0"
"53";"2015";"MUNICIPIO";"430245";"1.911";"0"
"54";"2015";"MUNICIPIO";"430250";"3.69";"0"
"55";"2015";"MUNICIPIO";"430258";"2.208";"0"
"56";"2015";"MUNICIPIO";"430260";"2.28";"0"
"57";"2015";"MUNICIPIO";"430265";"4.928";"0"
"58";"2015";"MUNICIPIO";"430270";"21.192";"0"
"59";"2015";"MUNICIPIO";"430280";"26.791";"1.191"
"60";"2015";"MUNICIPIO";"430290";"10.243";"0"
"61";"2015";"MUNICIPIO";"430300";"73.533";"21.835"
"62";"2015";"MUNICIPIO";"430310";"125.975";"65.226"
"63";"2015";"MUNICIPIO";"430320";"1.828";"0"
"64";"2015";"MUNICIPIO";"430330";"3.442";"0"
"65";"2015";"MUNICIPIO";"430340";"2.157";"0"
"66";"2015";"MUNICIPIO";"430350";"51.718";"0"
"67";"2015";"MUNICIPIO";"430355";"2.718";"0"
"68";"2015";"MUNICIPIO";"430360";"2.879";"0"
"69";"2015";"MUNICIPIO";"430367";"688";"900"
"70";"2015";"MUNICIPIO";"430370";"2.559";"2.21"
"71";"2015";"MUNICIPIO";"430380";"4.494";"5.649"
"72";"2015";"MUNICIPIO";"430390";"50.676";"97"
"73";"2015";"MUNICIPIO";"430400";"4.398";"0"
"74";"2015";"MUNICIPIO";"430410";"2.231";"0"
"75";"2015";"MUNICIPIO";"430420";"16.184";"0"
"76";"2015";"MUNICIPIO";"430430";"2.437";"0"
"77";"2015";"MUNICIPIO";"430435";"0";"0"
"78";"2015";"MUNICIPIO";"430440";"42.411";"5.907"
"79";"2015";"MUNICIPIO";"430450";"21.212";"17.44"
"80";"2015";"MUNICIPIO";"430460";"341.343";"88.457"
"81";"2015";"MUNICIPIO";"430461";"205";"0"
"82";"2015";"MUNICIPIO";"430462";"1.598";"1.1"
"83";"2015";"MUNICIPIO";"430463";"47.066";"24.144"
"84";"2015";"MUNICIPIO";"430465";"0";"0"
"85";"2015";"MUNICIPIO";"430466";"23.017";"0"
"86";"2015";"MUNICIPIO";"430467";"2.561";"0"
"87";"2015";"MUNICIPIO";"430468";"2.749";"350"
"88";"2015";"MUNICIPIO";"430469";"3.203";"0"
"89";"2015";"MUNICIPIO";"430470";"7.863";"0"
"90";"2015";"MUNICIPIO";"430471";"62.039";"0"
"91";"2015";"MUNICIPIO";"430480";"22.398";"27.279"
"92";"2015";"MUNICIPIO";"430485";"0";"0"
"93";"2015";"MUNICIPIO";"430490";"5.516";"0"
"94";"2015";"MUNICIPIO";"430495";"1.716";"0"
"95";"2015";"MUNICIPIO";"430500";"6.321";"520"
"96";"2015";"MUNICIPIO";"430510";"467.73";"432.496"
"97";"2015";"MUNICIPIO";"430511";"2.5";"0"
"98";"2015";"MUNICIPIO";"430512";"3.659";"0"
"99";"2015";"MUNICIPIO";"430513";"3.8";"0"
"100";"2015";"MUNICIPIO";"430515";"0";"0"
"101";"2015";"MUNICIPIO";"430517";"1.807";"0"
"102";"2015";"MUNICIPIO";"430520";"11.672";"0"
"103";"2015";"MUNICIPIO";"430530";"5.379";"0"
"104";"2015";"MUNICIPIO";"430535";"38.281";"0"
"105";"2015";"MUNICIPIO";"430537";"1.55";"0"
"106";"2015";"MUNICIPIO";"430540";"2.94";"0"
