CODMUNRES;Município;Estado;Ano de Referência;POPR_RA;POPR_RE
120001;Acrelândia;AC;2015;4.108;
120005;Assis Brasil;AC;2015;4.411;
120010;Brasiléia;AC;2015;12.950;5.800
120013;Bujari;AC;2015;3.988;
120017;Capixaba;AC;2015;3.837;
120020;Cruzeiro do Sul;AC;2015;40.157;
120025;Epitaciolândia;AC;2015;10.314;
120030;Feijó;AC;2015;5.564;
120032;Jordão;AC;2015;3.086;
120033;Mâncio Lima;AC;2015;10.585;
120034;Manoel Urbano;AC;2015;5.726;
120035;Marechal Thaumaturgo;AC;2015;3.041;
120038;Plácido de Castro;AC;2015;7.501;11.020
120080;Porto Acre;AC;2015;3.582;
120039;Porto Walter;AC;2015;3.939;
120040;Rio Branco;AC;2015;202.308;83.548
120042;Rodrigues Alves;AC;2015;5.368;
120043;Santa Rosa do Purus;AC;2015;2.495;
120045;Senador Guiomard;AC;2015;7.661;
120050;Sena Madureira;AC;2015;14.618;
120060;Tarauacá;AC;2015;13.329;
120070;Xapuri;AC;2015;8.854;
270010;Água Branca;AL;2015;13.178;
270020;Anadia;AL;2015;8.347;
270030;Arapiraca;AL;2015;221.212;70.000
270040;Atalaia;AL;2015;;
270050;Barra de Santo Antônio;AL;2015;;
270060;Barra de São Miguel;AL;2015;7.031;
270070;Batalha;AL;2015;13.757;4.945
270080;Belém;AL;2015;;
270090;Belo Monte;AL;2015;1.854;
270100;Boca da Mata;AL;2015;18.549;
270110;Branquinha;AL;2015;;
270120;Cacimbinhas;AL;2015;1.935;
270130;Cajueiro;AL;2015;17.230;2.032
270135;Campestre;AL;2015;;
270140;Campo Alegre;AL;2015;5.205;
270150;Campo Grande;AL;2015;8.661;
270160;Canapi;AL;2015;5.634;
270170;Capela;AL;2015;10.023;587
270180;Carneiros;AL;2015;5.674;
270190;Chã Preta;AL;2015;;
270200;Coité do Nóia;AL;2015;3.417;
270210;Colônia Leopoldina;AL;2015;12.433;
270220;Coqueiro Seco;AL;2015;3.757;
270230;Coruripe;AL;2015;56.631;8.231
270235;Craíbas;AL;2015;15.009;
270240;Delmiro Gouveia;AL;2015;50.940;44.000
270250;Dois Riachos;AL;2015;3.829;
270255;Estrela de Alagoas;AL;2015;6.313;
270260;Feira Grande;AL;2015;8.066;
270270;Feliz Deserto;AL;2015;;
270280;Flexeiras;AL;2015;6.852;
270290;Girau do Ponciano;AL;2015;16.387;
270300;Ibateguara;AL;2015;6.244;
270310;Igaci;AL;2015;13.758;
270320;Igreja Nova;AL;2015;6.528;
270330;Inhapi;AL;2015;8.346;
270340;Jacaré dos Homens;AL;2015;3.622;
270350;Jacuípe;AL;2015;4.384;926
270360;Japaratinga;AL;2015;3.484;
270370;Jaramataia;AL;2015;3.356;
270375;Jequiá da Praia;AL;2015;;
270380;Joaquim Gomes;AL;2015;14.012;
270390;Jundiá;AL;2015;2.801;
270400;Junqueiro;AL;2015;7.888;
270410;Lagoa da Canoa;AL;2015;13.187;
270420;Limoeiro de Anadia;AL;2015;6.495;
270430;Maceió;AL;2015;979.479;354.519
270440;Major Isidoro;AL;2015;9.790;
270450;Maragogi;AL;2015;15.792;7.564
270460;Maravilha;AL;2015;5.690;
270470;Marechal Deodoro;AL;2015;50.792;13.884
270480;Maribondo;AL;2015;8.610;
270490;Mar Vermelho;AL;2015;1.587;
270500;Mata Grande;AL;2015;9.833;
270510;Matriz de Camaragibe;AL;2015;10.556;
270520;Messias;AL;2015;12.373;
270530;Minador do Negrão;AL;2015;1.804;
270540;Monteirópolis;AL;2015;4.111;
270550;Murici;AL;2015;13.282;
270560;Novo Lino;AL;2015;5.512;
270570;Olho D ÁGUA das Flores;AL;2015;18.226;
270580;Olho D ÁGUA do Casado;AL;2015;5.656;
270590;Olho D ÁGUA Grande;AL;2015;2.032;
270600;Olivença;AL;2015;5.429;
270610;Ouro Branco;AL;2015;5.058;
270620;Palestina;AL;2015;3.922;
270630;Palmeira dos Índios;AL;2015;64.202;2.369
270640;Pão de Açúcar;AL;2015;24.878;
270642;Pariconha;AL;2015;7.580;
270644;Paripueira;AL;2015;10.299;
270650;Passo de Camaragibe;AL;2015;4.973;
270660;Paulo Jacinto;AL;2015;5.069;1.104
270670;Penedo;AL;2015;61.818;
270680;Piaçabuçu;AL;2015;11.038;
270690;Pilar;AL;2015;34.441;4.000
270700;Pindoba;AL;2015;1.541;
270710;Piranhas;AL;2015;22.243;7.316
270720;Poço das Trincheiras;AL;2015;3.295;
270730;Porto Calvo;AL;2015;;
270740;Porto de Pedras;AL;2015;3.321;
270750;Porto Real do Colégio;AL;2015;;
270760;Quebrangulo;AL;2015;6.555;958
270770;Rio Largo;AL;2015;48.681;
270780;Roteiro;AL;2015;;
270790;Santa Luzia do Norte;AL;2015;5.381;
270800;Santana do Ipanema;AL;2015;34.652;2.144
270810;Santana do Mundaú;AL;2015;5.714;
270820;São Brás;AL;2015;3.652;
270830;São José da Laje;AL;2015;;
270840;São José da Tapera;AL;2015;15.568;
270850;São Luís do Quitunde;AL;2015;;
270860;São Miguel dos Campos;AL;2015;60.539;59.830
270870;São Miguel dos Milagres;AL;2015;;
270880;São Sebastião;AL;2015;10.484;
270890;Satuba;AL;2015;7.804;
270895;Senador Rui Palmeira;AL;2015;4.190;
270900;Tanque d Arca;AL;2015;;
270910;Taquarana;AL;2015;8.394;
270915;Teotônio Vilela;AL;2015;36.960;25.310
270920;Traipu;AL;2015;10.026;
270930;União dos Palmares;AL;2015;51.483;38.496
270940;Viçosa;AL;2015;22.750;
130002;Alvarães;AM;2015;2.181;
130006;Amaturá;AM;2015;;
130008;Anamã;AM;2015;;
130010;Anori;AM;2015;;
130014;Apuí;AM;2015;;
130020;Atalaia do Norte;AM;2015;;
130030;Autazes;AM;2015;6.421;
130040;Barcelos;AM;2015;10.500;
130050;Barreirinha;AM;2015;;
130060;Benjamin Constant;AM;2015;15.842;
130063;Beruri;AM;2015;11.230;
130068;Boa Vista do Ramos;AM;2015;;
130070;Boca do Acre;AM;2015;;
130080;Borba;AM;2015;38.242;
130083;Caapiranga;AM;2015;;
130090;Canutama;AM;2015;8.930;
130100;Carauari;AM;2015;22.507;
130110;Careiro;AM;2015;;
130115;Careiro da Várzea;AM;2015;1.633;
130120;Coari;AM;2015;;
130130;Codajás;AM;2015;9.522;
130140;Eirunepé;AM;2015;14.305;
130150;Envira;AM;2015;11.508;
130160;Fonte Boa;AM;2015;19.045;
130165;Guajará;AM;2015;12.000;650
130170;Humaitá;AM;2015;;
130180;Ipixuna;AM;2015;;
130185;Iranduba;AM;2015;;
130190;Itacoatiara;AM;2015;;
130195;Itamarati;AM;2015;1.361;
130200;Itapiranga;AM;2015;;
130210;Japurá;AM;2015;;
130220;Juruá;AM;2015;4.569;
130230;Jutaí;AM;2015;;
130240;Lábrea;AM;2015;;
130250;Manacapuru;AM;2015;66.559;
130255;Manaquiri;AM;2015;6.293;
130260;Manaus;AM;2015;1.757.691;213.935
130270;Manicoré;AM;2015;28.500;
130280;Maraã;AM;2015;;
130290;Maués;AM;2015;;
130300;Nhamundá;AM;2015;6.000;
130310;Nova Olinda do Norte;AM;2015;20.800;3.121
130320;Novo Airão;AM;2015;12.124;
130330;Novo Aripuanã;AM;2015;;
130340;Parintins;AM;2015;106.000;
130350;Pauini;AM;2015;;
130353;Presidente Figueiredo;AM;2015;15.698;5.000
130356;Rio Preto da Eva;AM;2015;;
130360;Santa Isabel do Rio Negro;AM;2015;;
130370;Santo Antônio do Içá;AM;2015;;
130380;São Gabriel da Cachoeira;AM;2015;;
130390;São Paulo de Olivença;AM;2015;9.339;
130395;São Sebastião do Uatumã;AM;2015;12.781;
130400;Silves;AM;2015;8.000;
130406;Tabatinga;AM;2015;14.988;
130410;Tapauá;AM;2015;;
130420;Tefé;AM;2015;;
130423;Tonantins;AM;2015;9.850;7.850
130426;Uarini;AM;2015;;
130430;Urucará;AM;2015;17.163;
130440;Urucurituba;AM;2015;;
160010;Amapá;AP;2015;1.653;459
160020;Calçoene;AP;2015;1.158;
160021;Cutias;AP;2015;2.328;
160023;Ferreira Gomes;AP;2015;2.271;
160025;Itaubal;AP;2015;1.588;
160027;Laranjal do Jari;AP;2015;15.881;
160030;Macapá;AP;2015;166.013;24.797
160040;Mazagão;AP;2015;2.448;311
160050;Oiapoque;AP;2015;1.819;273
160015;Pedra Branca do Amapari;AP;2015;574;
160053;Porto Grande;AP;2015;782;
160055;Pracuúba;AP;2015;970;
160060;Santana;AP;2015;52.794;1.374
160005;Serra do Navio;AP;2015;1.905;1.863
160070;Tartarugalzinho;AP;2015;2.331;
160080;Vitória do Jari;AP;2015;6.247;
290010;Abaíra;BA;2015;;
290020;Abaré;BA;2015;12.855;6.548
290030;Acajutiba;BA;2015;14.060;
290035;Adustina;BA;2015;10.107;
290040;Água Fria;BA;2015;8.123;
290060;Aiquara;BA;2015;2.742;
290070;Alagoinhas;BA;2015;152.803;32.693
290080;Alcobaça;BA;2015;12.252;
290090;Almadina;BA;2015;5.925;
290100;Amargosa;BA;2015;32.742;1.043
290110;Amélia Rodrigues;BA;2015;19.082;
290115;América Dourada;BA;2015;13.822;
290120;Anagé;BA;2015;6.350;
290130;Andaraí;BA;2015;8.580;
290135;Andorinha;BA;2015;9.908;
290140;Angical;BA;2015;6.872;
290150;Anguera;BA;2015;8.236;
290160;Antas;BA;2015;10.872;
290170;Antônio Cardoso;BA;2015;4.979;
290180;Antônio Gonçalves;BA;2015;9.127;
290190;Aporá;BA;2015;16.643;
290195;Apuarema;BA;2015;5.008;
290205;Araças;BA;2015;;
290200;Aracatu;BA;2015;5.902;
290210;Araci;BA;2015;26.781;1.035
290220;Aramari;BA;2015;6.256;
290225;Arataca;BA;2015;5.572;
290230;Aratuípe;BA;2015;5.458;
290240;Aurelino Leal;BA;2015;10.679;
290250;Baianópolis;BA;2015;3.918;
290260;Baixa Grande;BA;2015;12.765;
290265;Banzaê;BA;2015;5.684;
290270;Barra;BA;2015;;
290280;Barra da Estiva;BA;2015;18.982;8.600
290290;Barra do Choça;BA;2015;29.022;481
290300;Barra do Mendes;BA;2015;11.336;
290310;Barra do Rocha;BA;2015;4.145;
290320;Barreiras;BA;2015;153.918;58.492
290323;Barro Alto;BA;2015;6.393;
290327;Barrocas;BA;2015;11.441;
290330;Barro Preto;BA;2015;;
290340;Belmonte;BA;2015;16.467;12.785
290350;Belo Campo;BA;2015;6.777;
290360;Biritinga;BA;2015;7.002;
290370;Boa Nova;BA;2015;9.110;3.304
290380;Boa Vista do Tupim;BA;2015;13.333;
290390;Bom Jesus da Lapa;BA;2015;69.526;47.204
290395;Bom Jesus da Serra;BA;2015;4.340;
290400;Boninal;BA;2015;5.619;
290405;Bonito;BA;2015;6.921;
290410;Boquira;BA;2015;;
290420;Botuporã;BA;2015;5.916;
290430;Brejões;BA;2015;13.803;15.214
290440;Brejolândia;BA;2015;2.983;
290450;Brotas de Macaúbas;BA;2015;4.033;
290460;Brumado;BA;2015;61.083;4.402
290470;Buerarema;BA;2015;14.829;
290475;Buritirama;BA;2015;;
290480;Caatiba;BA;2015;7.142;
290485;Cabaceiras do Paraguaçu;BA;2015;9.126;623
290490;Cachoeira;BA;2015;24.986;14.158
290500;Caculé;BA;2015;19.306;
290510;Caém;BA;2015;4.596;
290515;Caetanos;BA;2015;3.940;
290520;Caetité;BA;2015;38.201;
290530;Cafarnaum;BA;2015;12.016;
290540;Cairu;BA;2015;14.352;3.855
290550;Caldeirão Grande;BA;2015;8.217;
290560;Camacan;BA;2015;23.551;8.938
290570;Camaçari;BA;2015;247.609;81.561
290580;Camamu;BA;2015;19.832;1.819
290590;Campo Alegre de Lourdes;BA;2015;8.650;8.650
290600;Campo Formoso;BA;2015;31.833;2.961
290610;Canápolis;BA;2015;6.441;3.502
290620;Canarana;BA;2015;18.827;
290630;Canavieiras;BA;2015;26.856;16.868
290640;Candeal;BA;2015;4.651;
290650;Candeias;BA;2015;79.905;33.015
290660;Candiba;BA;2015;10.771;
290670;Cândido Sales;BA;2015;16.524;
290680;Cansanção;BA;2015;26.650;
290682;Canudos;BA;2015;11.000;
290685;Capela do Alto Alegre;BA;2015;9.161;
290687;Capim Grosso;BA;2015;29.346;2.141
290689;Caraíbas;BA;2015;3.431;1.231
290690;Caravelas;BA;2015;14.771;
290700;Cardeal da Silva;BA;2015;6.750;
290710;Carinhanha;BA;2015;22.975;5.625
290720;Casa Nova;BA;2015;55.000;23.000
290730;Castro Alves;BA;2015;22.849;657
290740;Catolândia;BA;2015;2.319;
290750;Catu;BA;2015;53.007;
290755;Caturama;BA;2015;5.737;1.746
290760;Central;BA;2015;14.614;
290770;Chorrochó;BA;2015;7.452;2.739
290780;Cícero Dantas;BA;2015;24.355;
290790;Cipó;BA;2015;13.169;
290800;Coaraci;BA;2015;17.531;
290810;Cocos;BA;2015;;
290820;Conceição da Feira;BA;2015;19.451;484
290830;Conceição do Almeida;BA;2015;8.137;
290840;Conceição do Coité;BA;2015;53.481;3.609
290850;Conceição do Jacuípe;BA;2015;14.366;
290860;Conde;BA;2015;16.294;
290870;Condeúba;BA;2015;9.152;
290880;Contendas do Sincorá;BA;2015;3.011;
290890;Coração de Maria;BA;2015;10.209;
290900;Cordeiros;BA;2015;4.956;
290910;Coribe;BA;2015;14.210;
290920;Coronel João Sá;BA;2015;10.989;4.418
290930;Correntina;BA;2015;17.384;3.376
290940;Cotegipe;BA;2015;7.686;
290950;Cravolândia;BA;2015;3.279;2.595
290960;Crisópolis;BA;2015;9.306;
290970;Cristópolis;BA;2015;3.352;
290980;Cruz das Almas;BA;2015;57.876;9.226
290990;Curaçá;BA;2015;30.291;10.412
291000;Dário Meira;BA;2015;5.389;
291005;Dias d Ávila;BA;2015;59.281;29.601
291010;Dom Basílio;BA;2015;;
291020;Dom Macedo Costa;BA;2015;2.599;
291030;Elísio Medrado;BA;2015;3.751;
291040;Encruzilhada;BA;2015;6.196;3.976
291050;Entre Rios;BA;2015;32.275;2.835
290050;Érico Cardoso;BA;2015;4.633;
291060;Esplanada;BA;2015;27.761;
291070;Euclides da Cunha;BA;2015;44.731;8.883
291072;Eunápolis;BA;2015;98.899;8.179
291075;Fátima;BA;2015;16.647;
